,Model,DataType,Set,SetName,SubsetVariableNumber,TotSubsets,Statistic,N,TSS,Kappa,AUC,Spec,Sens,ThreshMxTSS,AICc_bg,NumDVars
77,MaxentAll_RSFSAAIC,Random10FinalTest,Random10,10_AllVariables,12,250,SD,10,0.038100023,0.042091613,0.016788505,0.047674948,0.042990523,0.027270649,59.15250352,7.208020224
78,MaxentAll_RSFSAAIC,Random10FinalTest,Random10,10_AllVariables,15,250,SD,10,0.030435082,0.030387457,0.016545534,0.041517514,0.057700279,0.024742321,70.61166281,10.34998658
79,MaxentAll_RSFSAAIC,Random10FinalTest,Random10,10_AllVariables,20,250,SD,10,0.027823645,0.029288302,0.015387177,0.055194166,0.059502395,0.025993615,86.09500377,12.69689376
80,MaxentAll_RSFSAAIC,Random10FinalTest,Random10,10_AllVariables,25,250,SD,10,0.025000683,0.024029726,0.011119655,0.039365424,0.042824433,0.0229352,51.17972866,6.818276094
81,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,3,250,Mean,10,0.269381274,0.245686783,0.674531003,0.594145628,0.675235647,0.488888889,21974.42577,25.7
82,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,6,250,Mean,10,0.398253283,0.370834372,0.769487407,0.675631175,0.722622108,0.470707071,21795.00793,51
83,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,8,250,Mean,10,0.432294897,0.415450259,0.788905397,0.749432858,0.682862039,0.476767677,21708.13207,51.6
84,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,10,250,Mean,10,0.49008585,0.473841012,0.820914865,0.742956458,0.747129392,0.447474747,21625.11294,66.8
85,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,12,250,Mean,10,0.513526479,0.495308489,0.837784955,0.766739846,0.746786632,0.450505051,21589.75098,74.2
86,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,15,250,Mean,10,0.524334023,0.512654276,0.844783661,0.767178924,0.757155099,0.438383838,21539.22591,76.3
87,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,20,250,Mean,10,0.557713916,0.547267811,0.860788309,0.804500549,0.753213368,0.439393939,21468.62201,88.1
88,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,25,250,Mean,10,0.58533886,0.573803814,0.877008921,0.805561654,0.779777207,0.421212121,21399.85029,94.4
89,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,3,250,SD,10,0.096155136,0.097344761,0.061309909,0.147807186,0.109746155,0.019747984,100.4363562,7.543208866
90,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,6,250,SD,10,0.059522543,0.062233218,0.033077774,0.073991563,0.067356098,0.021401008,92.2498057,11.508451
91,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,8,250,SD,10,0.059204015,0.061250776,0.036975349,0.059610059,0.036597672,0.012416895,94.91130114,11.39395551
92,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,10,250,SD,10,0.045434175,0.051430918,0.025489528,0.052644796,0.029805739,0.012643086,76.17871541,11.57391704
93,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,12,250,SD,10,0.020351174,0.028146917,0.01190971,0.047659334,0.035036897,0.020313944,59.15250352,7.208020224
94,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,15,250,SD,10,0.025777215,0.03476467,0.015630392,0.052992282,0.041784849,0.019165319,70.61166281,10.34998658
95,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,20,250,SD,10,0.025600392,0.025418521,0.01431168,0.039423566,0.044907053,0.017332711,86.09500377,12.69689376
96,MaxentAll_RSFSAAIC,Random10FinalTrain,Random10,10_AllVariables,25,250,SD,10,0.019726936,0.013950264,0.009076886,0.037584639,0.045148037,0.021846637,51.17972866,6.818276094
1,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,3,250,Mean,10,0.010936406,0.016314037,0.009203548,0.062319035,-0.051382628,0.005050505,0,0
2,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,6,250,Mean,10,0.026046413,0.02584608,0.014820603,-0.012068969,0.038115382,-0.001010101,0,0
3,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,8,250,Mean,10,0.031274898,0.042649058,0.021199775,0.062019196,-0.030744298,0.021212121,0,0
4,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,10,250,Mean,10,0.029726128,0.034875262,0.01627124,0.011033426,0.018692702,0,0,0
5,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,12,250,Mean,10,0.030738001,0.050057473,0.018359792,0.051867727,-0.021129726,0.016161616,0,0
6,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,15,250,Mean,10,0.034994439,0.051190844,0.022232418,0.035737475,-0.000743036,0.013131313,0,0
7,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,20,250,Mean,10,0.039111929,0.0594878,0.024891812,0.055415147,-0.016303219,0.024242424,0,0
8,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,25,250,Mean,10,0.037542564,0.053321193,0.02550252,0.040389549,-0.002846985,0.016161616,0,0
9,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,3,250,SD,10,0.023004557,0.025456148,0.014667192,0.132051479,0.122957166,0.017974879,0,0
10,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,6,250,SD,10,0.013104911,0.015380028,0.010381644,0.081578015,0.081775256,0.018100579,0,0
11,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,8,250,SD,10,0.020572165,0.018212402,0.011924096,0.036369905,0.048980296,0.016112439,0,0
12,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,10,250,SD,10,0.013422648,0.014776133,0.006595151,0.036905514,0.042578387,0.017168416,0,0
13,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,12,250,SD,10,0.015165556,0.019494791,0.007930683,0.050843704,0.056522552,0.0229352,0,0
14,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,15,250,SD,10,0.011249784,0.009517318,0.004698035,0.040053306,0.040503889,0.019076384,0,0
15,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,20,250,SD,10,0.015581426,0.01427548,0.005454636,0.03939018,0.037135232,0.017299977,0,0
16,MaxentAll_RSFSAAIC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,25,250,SD,10,0.015446851,0.01345689,0.003847721,0.030104762,0.034615479,0.013635324,0,0
17,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,3,250,Mean,10,0.254395061,0.235614053,0.662982947,0.617922458,0.636472603,0.48989899,21979.32608,23.9
